ID,Title,Year,Venue,PrimaryCategory,SecondaryTags,Dataset,Modalities,Tasks,Architecture,Fusion,EvaluationProtocol,DOI,URL,PDF,Note,VerificationStatus,Relevance
P0001,"AMIGOS: A Dataset for Affect, Personality and Mood Research on Individuals and Groups",2017,IEEE Transactions on Affective Computing,B — Dataset / Benchmark,[EEG] [ECG] [GSR] [EDA] [MULTIMODAL] [AMIGOS] [SUBJECT_INDEPENDENT] [LOSO] [CLASSIFICATION] [REGRESSION] [EARLY_FUSION] [LATE_FUSION],AMIGOS,"EEG, ECG, GSR/EDA, RGB Video, Depth Video","Valence, Arousal, Dominance, Basic 7, Personality",Handcrafted Features + GNB / SVM / Decision Trees,Early Fusion (Concatenation) / Late Fusion (Score Averaging),LOSO & 10-Fold CV,10.1109/TAFFC.2018.2884469,https://arxiv.org/abs/1702.02510v3,literature/01_verified/P0001__amigos_dataset_affect_personality_mood_2017.pdf,literature/03_notes/P0001.md,VERIFIED,"Multimodal, Fusion, Generalization, Benchmark"
P0002,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,2019,IEEE Transactions on Affective Computing,C — Unimodal Emotion Recognition,[EEG] [UNIMODAL] [GNN] [SEED] [SEED_IV] [SUBJECT_DEPENDENT] [SUBJECT_INDEPENDENT] [LOSO] [CLASSIFICATION],"SEED, SEED-IV",EEG (62 channels),"3-Class (SEED), 4-Class (SEED-IV)",Regularized Graph Neural Network (RGNN),Spatial Graph Convolution,Subject-Dependent & LOSO,10.1109/TAFFC.2020.2994159,https://arxiv.org/abs/1907.07835v4,literature/01_verified/P0002__eeg_based_emotion_recognition_regularized_graph_neural_networks_2019.pdf,literature/03_notes/P0002.md,VERIFIED,"Multi-branch, Generalization, Topology modeling"
P0003,Multimodal Emotion Recognition Using Multimodal Deep Learning,2016,arXiv:1602.08225 / IEEE T-AC,D — Multimodal Emotion Recognition,[EEG] [MULTIMODAL] [MULTIBRANCH] [EARLY_FUSION] [LATE_FUSION] [SEED] [CLASSIFICATION] [SUBJECT_DEPENDENT],SEED (EEG + Eye Tracking),"EEG (62 ch), Eye Tracking",3-Class Discrete Emotion,Bimodal Deep AutoEncoder (BDAE) + SVM,Intermediate Latent Shared Bottleneck Fusion,Subject-Dependent (9 train / 6 test per session),10.48550/arXiv.1602.08225,https://arxiv.org/abs/1602.08225v1,literature/01_verified/P0003__multimodal_emotion_recognition_using_multimodal_deep_learning_2016.pdf,literature/03_notes/P0003.md,VERIFIED,"Multimodal, Multi-branch, Fusion, Benchmark"
P0004,Identifying Stable Patterns over Time for Emotion Recognition from EEG,2016,IEEE Transactions on Affective Computing,H — Generalization / Domain Adaptation,[EEG] [UNIMODAL] [SEED] [CROSS_SESSION] [SUBJECT_DEPENDENT] [SUBJECT_INDEPENDENT] [CLASSIFICATION],SEED,EEG (62 channels),3-Class Discrete Emotion,Deep Belief Network (DBN) & SVM,Multi-band DE Feature Aggregation,"Cross-Session (Train S1 -> Test S2/S3), Subject-Dep & LOSO",10.1109/TAFFC.2017.2712143,https://arxiv.org/abs/1601.02197v1,literature/01_verified/P0004__identifying_stable_patterns_over_time_emotion_recognition_eeg_2016.pdf,literature/03_notes/P0004.md,VERIFIED,"Generalization, Temporal stability, Channel selection"
P0005,A Novel Bi-hemispheric Discrepancy Model for EEG Emotion Recognition,2019,IEEE Transactions on Affective Computing,F — Multi-Branch Architecture,[EEG] [MULTIBRANCH] [CNN] [SEED] [DEAP] [SUBJECT_DEPENDENT] [CLASSIFICATION] [INTERMEDIATE_FUSION],"SEED, DEAP",EEG (Left and Right Hemispheres),"3-Class (SEED), Binary Valence/Arousal (DEAP)",Bi-hemispheric Discrepancy Model (BiHDM),Discrepancy Subtraction Layer (Intermediate),Subject-Dependent 10-fold CV & session split,10.48550/arXiv.1906.01704,https://arxiv.org/abs/1906.01704v1,literature/01_verified/P0005__bi_hemispheric_discrepancy_model_for_eeg_emotion_recognition_2019.pdf,literature/03_notes/P0005.md,VERIFIED,"Multi-branch, Shared-private asymmetry, Fusion"
P0006,Entropy-Assisted Multi-Modal Emotion Recognition Framework Based on Physiological Signals,2018,IEEE EMBC / arXiv:1809.08410,D — Multimodal Emotion Recognition,[EEG] [ECG] [GSR] [EDA] [MULTIMODAL] [EARLY_FUSION] [DEAP] [AMIGOS] [CLASSIFICATION] [SUBJECT_DEPENDENT],"DEAP, AMIGOS","EEG, ECG, GSR/EDA",Binary Valence and Arousal,Multi-Scale Fuzzy Entropy + SVM / Random Forest,Early Feature-Level Concatenation,Subject-Dependent 10-fold CV,10.48550/arXiv.1809.08410,https://arxiv.org/abs/1809.08410v1,literature/01_verified/P0006__entropy_assisted_multimodal_emotion_recognition_physiological_2018.pdf,literature/03_notes/P0006.md,VERIFIED,"Multimodal, Feature extraction, Fusion"
P0007,A Lightweight Domain Adversarial Neural Network Based on Knowledge Distillation for EEG-based Cross-subject Emotion Recognition,2023,arXiv:2305.07446 / IEEE T-NSRE,J — Efficient / Lightweight Models,[EEG] [EFFICIENT] [DOMAIN_ADAPTATION] [KNOWLEDGE_DISTILLATION] [SEED] [DEAP] [LOSO] [CLASSIFICATION],"SEED, DEAP",EEG (62/32 channels),"3-Class (SEED), Binary Valence/Arousal (DEAP)",KD-DANN (Teacher-Student Knowledge Distillation),Domain Alignment + Logit & Feature Distillation,Leave-One-Subject-Out (LOSO),10.48550/arXiv.2305.07446,https://arxiv.org/abs/2305.07446v1,literature/01_verified/P0007__lightweight_dann_kd_eeg_cross_subject_emotion_2023.pdf,literature/03_notes/P0007.md,VERIFIED,"Efficient models, Generalization, Adversarial adaptation"
P0008,Partial Label Learning for Emotion Recognition from EEG,2023,arXiv:2302.13170 / IEEE T-AC,E — Multitask Learning,[EEG] [PARTIAL_LABEL] [MULTI_TASK] [SEED_IV] [SEED_V] [SUBJECT_DEPENDENT] [SUBJECT_INDEPENDENT] [LOSO],"SEED-IV, SEED-V",EEG (62 channels DE features),4-Class (SEED-IV) and 5-Class (SEED-V) Ambiguous Emotion Disambiguation,Deep MLP / GCN with Disambiguation Estimator,Candidate Probability Masking & Weighting,Subject-Dependent & Subject-Independent (LOSO),10.48550/arXiv.2302.13170,https://arxiv.org/abs/2302.13170v2,literature/01_verified/P0008__partial_label_learning_emotion_recognition_eeg_2023.pdf,literature/03_notes/P0008.md,VERIFIED,"Multi-task, Label ambiguity, Generalization"
P0009,Emotion Recognition with Machine Learning Using EEG Signals,2019,"Sensors, 19(24), 5488 / arXiv:1903.07272",L — Review / Survey,[EEG] [REVIEW] [DEAP] [SEED] [DREAMER] [MAHNOB_HCI] [FEATURE_EXTRACTION] [CLASSIFICATION],"DEAP, SEED, DREAMER, MAHNOB-HCI","EEG, EOG, ECG, GSR, Respiration","Valence, Arousal, Dominance, Discrete Emotions",Survey of Classical ML & Deep Learning,"Survey of Early, Intermediate, and Late Fusion",Comparative Analysis of Subject-Dependent vs. Independent Validation,10.3390/s19245488,https://arxiv.org/abs/1903.07272v2,literature/01_verified/P0009__emotion_recognition_machine_learning_eeg_signals_review_2019.pdf,literature/03_notes/P0009.md,VERIFIED,"Taxonomy, Benchmark review, Methodological validation"
P0010,PSO Fuzzy XGBoost Classifier Boosted with Neural Gas Features on EEG Signals in Emotion Recognition,2024,arXiv:2407.09950,C — Unimodal Emotion Recognition,[EEG] [UNIMODAL] [NEURAL_GAS] [XGBOOST] [FUZZY_LOGIC] [OPTIMIZATION] [DEAP] [CLASSIFICATION],DEAP,EEG (32 channels),Binary Valence and Arousal,Neural Gas Network + PSO Fuzzy XGBoost,Topological Prototype Projection,10-Fold Cross-Validation,10.48550/arXiv.2407.09950,https://arxiv.org/abs/2407.09950v2,literature/01_verified/P0010__pso_fuzzy_xgboost_classifier_boosted_neural_gas_eeg_2024.pdf,literature/03_notes/P0010.md,VERIFIED,"Feature selection, Non-linear modeling, Baseline"
P0011,Spatial-Temporal Recurrent Neural Network for Emotion Recognition,2017,arXiv:1705.04515 / IEEE T-AC,C — Unimodal Emotion Recognition,[EEG] [UNIMODAL] [RNN] [LSTM] [SPATIAL_TEMPORAL] [SEED] [DEAP] [SUBJECT_DEPENDENT] [CLASSIFICATION],"SEED, DEAP",EEG (62/32 channels),"3-Class (SEED), Binary Valence/Arousal (DEAP)",Spatial-Temporal Recurrent Neural Network (STRNN),Spatial Multidirectional + Temporal Recurrence,Subject-Dependent (Train/Test per session & 10-fold CV),10.48550/arXiv.1705.04515,https://arxiv.org/abs/1705.04515v1,literature/01_verified/P0011__spatial_temporal_rnn_emotion_recognition_2017.pdf,literature/03_notes/P0011.md,VERIFIED,"Spatial-temporal modeling, Multi-branch, Sequence dynamics"
